work_year,experience_level,experience_level_long,employment_type,job_title,salary_in_aud,employee_residence,remote_ratio,company_location_long,company_size
2023,SE,Senior-level,Full Time,Principal Data Scientist,128771,ES,100,Spain,L
2023,MI,Mid-level,Contract,ML Engineer,45000,US,100,United States,S
2023,MI,Mid-level,Contract,ML Engineer,38250,US,100,United States,S
2023,SE,Senior-level,Full Time,Data Scientist,262500,CA,100,Canada,M
2023,SE,Senior-level,Full Time,Data Scientist,180000,CA,100,Canada,M
2023,SE,Senior-level,Full Time,Applied Scientist,333300,US,0,United States,L
2023,SE,Senior-level,Full Time,Applied Scientist,204000,US,0,United States,L
2023,SE,Senior-level,Full Time,Data Scientist,328500,CA,0,Canada,M
2023,SE,Senior-level,Full Time,Data Scientist,211500,CA,0,Canada,M
2023,SE,Senior-level,Full Time,Data Scientist,220650,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Scientist,136050,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Analyst,195000,US,100,United States,M
2023,SE,Senior-level,Full Time,Data Analyst,150000,US,100,United States,M
2023,EN,Entry-level,Full Time,Applied Scientist,320490,US,0,United States,L
2023,EN,Entry-level,Full Time,Applied Scientist,196140,US,0,United States,L
2023,SE,Senior-level,Full Time,Data Modeler,220650,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Modeler,136050,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Scientist,255000,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Scientist,225000,US,0,United States,M
2023,MI,Mid-level,Full Time,Data Analyst,225000,US,100,United States,M
2023,MI,Mid-level,Full Time,Data Analyst,165000,US,100,United States,M
2023,SE,Senior-level,Full Time,Research Engineer,412500,DE,0,Germany,M
2023,SE,Senior-level,Full Time,Research Engineer,261000,DE,0,Germany,M
2023,SE,Senior-level,Full Time,Analytics Engineer,345000,GB,100,United Kingdom,M
2023,SE,Senior-level,Full Time,Analytics Engineer,214800,GB,100,United Kingdom,M
2023,SE,Senior-level,Full Time,Business Intelligence Engineer,337500,US,0,United States,M
2023,SE,Senior-level,Full Time,Business Intelligence Engineer,234600,US,0,United States,M
2023,SE,Senior-level,Full Time,Machine Learning Engineer,300000,US,0,United States,M
2023,SE,Senior-level,Full Time,Machine Learning Engineer,195000,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Strategist,135000,CA,0,Canada,M
2023,SE,Senior-level,Full Time,Data Strategist,108000,CA,0,Canada,M
2023,SE,Senior-level,Full Time,Data Engineer,379800,US,0,United States,M
2023,SE,Senior-level,Full Time,Data Engineer,136050,US,0,United States,M
2023,SE,Senior-level,Full Time,Computer Vision Engineer,514215,US,0,United States,M
2023,SE,Senior-level,Full Time,Computer Vision Engineer,276885,US,0,United States,M
2023,MI,Mid-level,Full Time,Data Engineer,243750,US,0,United States,M
2023,MI,Mid-level,Full Time,Data Engineer,195000,US,0,United States,M
2023,MI,Mid-level,Full Time,Data Analyst,158070,US,0,United States,M
2023,MI,Mid-level,Full Time,Data Analyst,96750,US,0,United States,M
2023,EN,Entry-level,Full Time,Data Quality Analyst,150000,NG,100,Nigeria,L
2023,EN,Entry-level,Full Time,Compliance Data Analyst,45000,NG,100,Nigeria,L
2022,MI,Mid-level,Full Time,Machine Learning Engineer,31476,IN,50,India,L
2023,EN,Entry-level,Full Time,Applied Scientist,306930,US,0,United States,L
