Term,Freq,Total,Category,logprob,loglift
code,129.0,129.0,Default,30.0,30.0
network,406.0,406.0,Default,29.0,29.0
galaxy,87.0,87.0,Default,28.0,28.0
learn,279.0,279.0,Default,27.0,27.0
star,86.0,86.0,Default,26.0,26.0
program,84.0,84.0,Default,25.0,25.0
language,102.0,102.0,Default,24.0,24.0
logic,61.0,61.0,Default,23.0,23.0
neural,172.0,172.0,Default,22.0,22.0
image,193.0,193.0,Default,21.0,21.0
epidemic,41.0,41.0,Default,20.0,20.0
spin,131.0,131.0,Default,19.0,19.0
prove,192.0,192.0,Default,18.0,18.0
mathbb,101.0,101.0,Default,17.0,17.0
disease,45.0,45.0,Default,16.0,16.0
equation,202.0,202.0,Default,15.0,15.0
training,130.0,130.0,Default,14.0,14.0
magnetic,123.0,123.0,Default,13.0,13.0
deep,158.0,158.0,Default,12.0,12.0
temperature,123.0,123.0,Default,11.0,11.0
task,171.0,171.0,Default,10.0,10.0
phase,167.0,167.0,Default,9.0,9.0
planet,55.0,55.0,Default,8.0,8.0
group,193.0,193.0,Default,7.0,7.0
energy,178.0,178.0,Default,6.0,6.0
mass,79.0,79.0,Default,5.0,5.0
train,113.0,113.0,Default,4.0,4.0
mathcal,94.0,94.0,Default,3.0,3.0
estimator,103.0,103.0,Default,2.0,2.0
formula,78.0,78.0,Default,1.0,1.0
estimator,100.43414985675334,103.41166770382954,Topic1,-5.4846,1.5817
regret,23.01705699035818,24.417431012212962,Topic1,-6.9579,1.5519
minimax,17.596303213148197,19.057591890981552,Topic1,-7.2264,1.5311
quantile,13.779896722402292,14.992973110468215,Topic1,-7.4709,1.5265
posterior,41.0043365544164,44.856448570174564,Topic1,-6.3804,1.5211
lasso,14.13200049956629,15.741266289263937,Topic1,-7.4457,1.5031
sgd,10.346495812184873,11.559817863233643,Topic1,-7.7575,1.5
nonparametric,19.007754885638143,21.276484143190793,Topic1,-7.1493,1.4982
covariate,18.139747811003087,20.50420198576798,Topic1,-7.196,1.4884
sampler,9.142012610105263,10.354747560853024,Topic1,-7.8812,1.4864
mcmc,9.705451928846507,11.071941239610826,Topic1,-7.8214,1.4792
